Order_ID,Customer_Name,Tel_Nu,Email,Product_Category,Inventory_Count,Total_Inventory_Count_By_Product_Category,Sale_Price,Avg_Sale_Price_By_Product_Category,Discount_Rate,z_scores_Sale_Price,Order_Date,Delivery_Date,Regional_Code
110,Jack Jackson,,grace@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
112,Bob Smith,555-0107,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
113,Charlie Davis,,ivy@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
114,David Wilson,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
115,Eve Miller,,alice@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
117,Grace Taylor,,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
118,Hank Anderson,,charlie@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
119,Ivy Thomas,555-0103,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
120,Jack Jackson,,eve@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
123,Charlie Davis,555-0105,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
124,David Wilson,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
127,Grace Taylor,555-0107,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
128,Hank Anderson,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
129,Ivy Thomas,555-0109,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
130,Jack Jackson,,alice@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
133,Charlie Davis,555-0101,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
134,David Wilson,,charlie@mail.com,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
135,Eve Miller,555-0103,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
137,Grace Taylor,,eve@mail.com,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
138,Hank Anderson,555-0105,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
139,Ivy Thomas,,grace@mail.com,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
140,Jack Jackson,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
142,Bob Smith,,ivy@mail.com,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
143,Charlie Davis,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
144,David Wilson,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
145,Eve Miller,555-0101,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
147,Grace Taylor,,charlie@mail.com,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
148,Hank Anderson,555-0103,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
149,Ivy Thomas,,eve@mail.com,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
150,Jack Jackson,555-0105,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
152,Bob Smith,,grace@mail.com,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
153,Charlie Davis,555-0107,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
154,David Wilson,,ivy@mail.com,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
155,Eve Miller,555-0109,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
157,Grace Taylor,,alice@mail.com,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
158,Hank Anderson,555-0101,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
159,Ivy Thomas,,charlie@mail.com,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
160,Jack Jackson,555-0103,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
162,Bob Smith,,eve@mail.com,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
163,Charlie Davis,555-0105,,Clothing,,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
164,David Wilson,,grace@mail.com,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
165,Eve Miller,555-0107,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
167,Grace Taylor,,ivy@mail.com,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
170,Jack Jackson,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
173,Charlie Davis,,alice@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
174,David Wilson,555-0101,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
175,Eve Miller,,charlie@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
177,Grace Taylor,,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
178,Hank Anderson,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
179,Ivy Thomas,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
180,Jack Jackson,,grace@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
182,Bob Smith,555-0107,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
183,Charlie Davis,,ivy@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
184,David Wilson,,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
185,Eve Miller,,,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
187,Grace Taylor,555-0101,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
188,Hank Anderson,,charlie@mail.com,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
189,Ivy Thomas,555-0103,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
190,Jack Jackson,,eve@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
192,Bob Smith,555-0105,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
193,Charlie Davis,,,Clothing,200,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
194,David Wilson,555-0107,,Electronics,,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
195,Eve Miller,,ivy@mail.com,Home Decor,500,24250,12.5,28.79,0.12,-0.9667296132282598,01.01.2023,05.01.2023,UK-LON-EC1A
197,Grace Taylor,555-0109,,Home Decor,150,24250,45.99,28.79,0.15,1.0204368139631625,01.01.2023,05.01.2023,CAN-ON-M5V
198,Hank Anderson,,alice@mail.com,Clothing,,7400,89.0,89.0,0.05,0.0,01.01.2023,05.01.2023,USA-CA-90210
199,Ivy Thomas,555-0101,,Electronics,30,1140,150.0,150.0,0.75,-0.954342302724358,01.01.2023,05.01.2023,GER-BER-10115
,,,,,357,,111.23,,0.08,0.6,,,
,,,,,87,,36.73,,0.56,0.03,,,
,,,,,42,,20.93,,0.41,0.1,,,
